X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
NA,193,25,191,113,61,77,158,1,39
66,158,NA,191,113,155,77,158,1,114
1,111,321,191,113,155,77,158,55,135
66,193,321,43,113,155,77,158,NA,NA
NA,193,NA,NA,113,155,77,115,1,NA
1,23,NA,135,1,155,77,158,1,135
1,169,138,30,1,37,77,158,1,NA
NA,193,NA,191,113,40,77,158,55,46
66,24,86,191,113,155,31,158,55,135
66,NA,214,92,113,155,77,158,55,48
NA,33,NA,191,113,141,44,158,NA,135
NA,193,152,NA,113,31,NA,158,NA,135
NA,60,119,191,113,155,77,158,NA,135
NA,NA,NA,18,113,155,77,60,1,55
NA,193,46,191,113,155,77,158,NA,NA
66,193,NA,191,113,155,77,158,55,135
NA,193,105,191,113,155,77,158,55,135
66,80,98,90,113,13,NA,158,NA,103
1,9,321,191,113,155,77,37,NA,135
NA,193,NA,191,113,155,77,158,55,135
66,193,182,172,1,155,77,158,NA,135
NA,193,NA,191,113,23,77,92,55,NA
NA,20,265,191,113,155,77,158,55,16
NA,21,321,169,113,155,77,95,55,86
66,193,108,191,113,155,77,158,55,135
66,193,160,NA,113,155,77,158,NA,135
1,34,167,57,113,97,77,158,55,126
NA,193,265,191,1,51,77,61,55,135
66,NA,321,NA,1,145,77,158,NA,135
66,193,321,191,113,9,77,158,55,135
NA,193,321,191,113,155,77,158,55,71
66,NA,203,191,113,155,77,158,NA,135
66,193,NA,70,113,155,77,158,55,135
NA,193,68,191,113,154,77,158,NA,111
NA,193,NA,191,113,155,77,158,NA,135
66,193,185,191,113,155,54,158,NA,56
NA,193,23,191,113,155,77,49,55,135
NA,193,225,191,1,NA,45,158,NA,135
NA,193,321,106,113,17,NA,158,55,74
66,193,NA,69,113,63,77,28,55,NA
NA,193,180,82,113,155,77,88,NA,93
NA,185,321,NA,113,155,NA,158,55,36
66,193,1,191,1,42,21,76,NA,134
66,193,73,NA,113,155,77,24,NA,NA
NA,193,321,NA,113,126,77,158,55,135
NA,193,240,191,113,96,77,158,55,135
66,27,265,NA,1,155,77,158,55,129
NA,96,71,97,1,155,77,158,1,7
66,193,NA,115,1,155,9,150,55,NA
66,149,246,NA,113,155,77,109,55,99
1,193,260,191,113,155,77,158,1,135
66,156,49,140,1,155,77,158,55,135
66,193,184,191,113,113,69,158,55,135
NA,193,NA,75,1,155,77,158,55,135
NA,193,NA,191,113,155,77,158,NA,NA
66,NA,321,81,113,155,77,158,NA,135
1,193,265,191,1,155,77,21,55,NA
66,193,NA,191,113,155,77,158,55,135
66,193,321,191,113,155,77,127,NA,135
NA,193,321,191,113,155,77,NA,55,135
66,193,149,158,113,155,77,NA,55,135
66,164,37,191,113,155,77,158,55,135
66,112,NA,156,113,155,77,158,NA,135
66,193,107,85,113,155,77,31,NA,135
66,101,321,191,113,155,77,125,55,66
NA,NA,95,191,113,71,77,NA,1,135
1,170,321,191,113,155,77,133,55,135
66,193,NA,191,113,155,59,158,NA,135
66,193,33,191,113,155,NA,158,55,15
NA,82,210,49,113,155,77,27,55,NA
NA,193,80,191,1,131,77,158,55,NA
1,193,NA,191,113,155,77,158,NA,NA
NA,193,223,191,113,155,77,158,55,135
NA,193,NA,66,1,155,77,158,55,135
66,193,NA,42,113,12,77,117,55,135
NA,141,221,50,113,155,77,158,55,NA
66,48,NA,98,1,58,63,158,55,NA
NA,175,234,191,113,155,77,158,NA,135
66,NA,81,191,113,155,77,158,NA,135
66,181,NA,188,113,155,77,66,NA,135
66,61,263,54,113,155,77,118,55,135
66,193,NA,191,1,36,72,74,55,10
NA,166,181,191,113,75,77,12,1,47
NA,193,NA,191,1,155,77,158,55,135
66,183,175,161,113,24,77,158,55,83
66,193,134,191,113,155,NA,158,NA,135
66,193,170,191,113,109,77,158,NA,135
NA,35,67,191,1,35,36,4,55,135
66,72,6,109,113,16,77,158,55,135
NA,NA,265,191,113,124,77,158,55,73
66,153,100,NA,113,NA,77,158,NA,135
NA,13,128,72,113,155,77,34,NA,3
NA,89,196,128,1,NA,29,NA,55,105
66,193,91,191,113,155,77,158,55,135
1,193,99,191,113,59,41,57,NA,NA
66,193,197,191,113,155,77,158,55,135
1,193,11,191,113,155,3,158,55,135
66,193,NA,121,113,108,77,142,1,127
66,193,321,191,1,155,77,158,NA,135
66,193,321,80,113,155,77,138,NA,135
66,193,146,191,113,155,77,158,55,135
NA,NA,265,191,113,155,77,158,55,135
66,193,265,182,113,155,26,101,NA,135
1,10,10,191,1,155,77,146,55,87
NA,193,113,191,113,153,77,158,55,135
NA,193,39,191,113,149,77,68,55,135
66,193,155,191,113,155,NA,158,55,135
NA,104,139,191,113,142,77,134,55,135
66,124,321,191,113,155,77,158,55,NA
66,180,161,191,1,6,77,54,55,79
66,193,12,52,1,155,30,NA,1,121
66,193,321,131,113,155,10,158,55,135
66,193,215,5,1,73,77,22,NA,135
NA,193,254,2,1,14,77,NA,NA,135
NA,193,NA,191,113,155,77,158,55,135
1,11,8,191,1,34,NA,124,1,29
66,126,265,NA,1,155,77,NA,55,102
NA,3,31,191,113,67,50,158,55,12
66,65,NA,191,1,NA,77,38,55,NA
1,193,321,17,1,155,77,62,NA,135
66,136,50,191,1,65,77,158,55,135
66,193,21,191,113,155,77,158,55,135
NA,138,NA,51,113,88,40,35,NA,65
66,193,79,191,113,NA,77,158,55,NA
66,193,NA,191,113,155,77,158,55,135
NA,193,NA,185,113,155,77,158,55,18
66,184,90,14,113,155,77,158,55,NA
NA,157,69,191,113,155,77,114,55,135
66,193,265,191,1,155,NA,158,55,135
NA,193,265,168,113,155,77,41,55,135
66,NA,143,60,113,155,77,158,55,109
NA,193,NA,15,113,155,77,158,55,69
1,NA,321,73,113,155,77,158,55,135
66,56,85,16,1,92,27,55,1,70
NA,193,36,163,113,155,77,59,NA,135
1,28,265,191,1,140,33,158,55,NA
NA,193,204,191,113,150,39,89,55,9
66,116,NA,191,113,155,77,158,55,44
66,193,265,191,113,155,77,143,NA,135
66,193,265,191,113,155,77,39,NA,135
NA,167,265,191,113,155,77,158,55,135
66,NA,265,46,1,155,77,158,55,135
66,87,117,191,113,155,16,NA,55,89
66,133,62,191,113,155,77,158,55,135
1,70,158,191,113,47,NA,158,NA,135
NA,163,16,191,113,155,77,154,55,120
66,NA,321,176,113,155,77,136,NA,135
66,159,217,99,113,155,77,72,55,NA
66,193,NA,191,113,155,28,84,NA,NA
NA,128,NA,191,NA,155,77,158,NA,NA
66,193,198,191,113,79,77,158,NA,84
66,193,24,19,113,134,77,158,55,23
NA,193,265,191,113,129,77,129,NA,135
66,25,NA,152,113,155,32,158,1,135
66,127,265,191,113,155,77,158,55,NA
66,193,183,191,113,83,77,NA,55,38
66,122,195,94,1,127,77,20,1,NA
66,193,123,190,113,107,NA,158,55,135
66,193,321,191,113,155,77,158,55,4
NA,193,233,191,113,155,77,158,NA,94
NA,193,265,88,1,57,77,158,NA,135
1,NA,14,191,113,84,75,158,NA,NA
66,193,NA,191,113,155,77,158,55,NA
66,193,NA,191,113,117,42,158,55,135
NA,NA,265,NA,113,155,77,158,55,NA
NA,58,226,143,113,155,77,158,55,135
66,110,209,32,113,101,57,44,1,25
66,193,265,58,113,155,77,158,NA,135
66,41,116,191,1,155,77,151,NA,NA
1,66,212,83,1,155,77,NA,NA,NA
NA,193,227,191,113,155,77,NA,55,135
66,193,102,191,113,155,77,91,55,135
NA,143,NA,191,1,155,77,158,NA,135
1,193,NA,84,113,155,77,64,NA,135
NA,4,239,191,1,130,NA,158,NA,135
66,47,17,23,113,87,67,NA,55,NA
1,193,248,191,1,76,77,158,NA,135
NA,193,265,110,113,155,77,158,55,81
66,193,2,87,113,62,77,158,NA,31
66,193,83,13,113,155,77,158,1,NA
66,193,265,165,113,120,77,158,55,135
66,135,19,191,113,155,53,158,55,135
66,1,NA,191,113,155,77,52,55,135
66,94,124,NA,113,155,14,158,55,20
1,193,129,191,1,155,77,158,NA,135
66,45,NA,191,113,89,77,158,55,NA
66,99,NA,NA,1,155,77,158,NA,135
66,193,NA,191,113,155,77,105,55,76
NA,36,176,162,1,46,2,158,55,NA
NA,193,206,63,113,77,17,36,55,135
NA,106,NA,191,113,155,77,33,55,135
NA,95,63,191,113,155,23,6,55,135
66,193,207,191,113,155,77,158,55,NA
NA,193,321,191,1,95,77,112,1,NA
NA,193,265,150,113,155,77,158,55,NA
NA,193,101,96,1,155,NA,NA,1,32
66,193,243,191,1,135,77,82,55,135
NA,90,41,NA,1,155,46,103,55,NA
66,100,34,123,113,28,77,121,55,135
66,38,250,116,113,155,77,158,55,135
66,51,NA,191,1,144,77,NA,NA,135
66,29,127,47,113,69,NA,158,55,NA
66,109,NA,191,113,155,77,158,1,NA
66,193,321,191,113,41,77,158,NA,135
1,193,43,191,113,155,19,1,NA,24
1,193,321,76,113,136,77,158,55,135
NA,114,172,191,113,155,77,50,55,122
66,19,242,191,113,60,77,158,NA,21
1,193,253,3,113,137,77,70,55,NA
66,193,130,191,1,82,77,158,55,NA
66,93,179,191,1,155,77,158,NA,135
66,193,20,NA,1,155,77,32,1,54
66,91,120,191,113,147,77,158,NA,135
NA,193,64,36,113,155,20,158,55,11
66,193,321,191,113,155,NA,106,NA,37
1,NA,265,171,1,155,77,158,55,135
66,193,199,191,1,155,77,85,NA,135
66,193,157,191,113,4,77,158,55,101
66,193,70,71,113,64,35,87,55,135
66,193,145,157,113,155,77,158,55,135
NA,193,321,191,1,155,77,158,NA,135
NA,173,97,4,113,39,77,53,NA,135
66,193,321,191,113,146,77,NA,NA,135
66,193,156,20,113,155,77,158,NA,135
66,59,58,191,113,155,51,157,55,128
66,193,56,134,113,155,77,158,NA,135
1,179,249,24,113,155,12,158,1,135
1,193,109,191,1,155,77,158,NA,135
66,154,265,191,113,155,77,158,55,135
NA,193,104,95,113,NA,77,111,55,97
66,193,321,191,113,155,77,158,55,135
1,193,247,167,113,155,77,158,NA,135
66,193,219,191,1,155,77,80,1,135
NA,193,60,191,113,1,77,158,NA,135
NA,193,224,191,113,155,77,158,55,135
66,62,28,191,113,15,77,140,NA,135
NA,193,NA,144,113,155,77,158,55,135
1,193,47,191,113,155,71,158,55,77
NA,67,7,191,113,155,22,158,1,80
NA,140,200,191,113,102,77,158,NA,135
66,193,NA,191,113,155,77,NA,55,135
66,7,205,NA,1,99,77,79,NA,135
NA,193,186,191,113,155,77,158,55,NA
66,193,321,191,113,155,77,158,55,135
66,125,194,191,113,155,77,158,NA,135
66,193,59,191,113,155,77,158,1,135
NA,193,321,191,113,155,77,NA,55,NA
1,193,NA,191,1,155,77,158,55,135
66,193,126,191,113,155,77,158,55,135
66,193,321,191,113,91,77,158,55,53
NA,193,27,191,113,155,77,158,1,135
1,97,9,191,1,155,77,153,1,75
1,85,321,191,1,155,77,69,1,85
NA,193,265,139,113,155,77,158,NA,135
1,63,321,184,113,86,77,158,1,72
66,193,NA,191,113,155,77,158,55,135
NA,193,NA,191,113,155,77,158,55,135
1,193,48,191,113,155,77,158,55,135
NA,43,131,191,113,155,77,158,55,135
NA,NA,164,67,113,155,77,158,1,119
NA,193,218,191,NA,22,77,122,55,135
NA,68,265,136,113,155,77,158,NA,14
66,186,265,26,113,155,77,158,55,57
NA,193,264,142,113,155,77,158,NA,135
NA,193,NA,186,1,155,77,158,55,135
66,155,NA,191,113,49,77,75,55,135
1,193,321,191,113,155,77,158,55,NA
66,88,188,191,113,32,77,158,55,17
1,2,201,22,1,155,25,58,NA,6
66,193,NA,191,113,155,77,158,NA,135
66,193,321,191,113,155,77,158,NA,NA
66,162,NA,104,113,155,77,67,1,135
66,193,115,191,1,155,77,158,55,135
1,147,NA,173,113,38,77,116,1,104
66,193,265,NA,1,155,77,77,55,49
66,193,321,149,113,155,77,158,55,135
66,193,135,191,113,70,77,158,1,135
66,193,NA,191,113,155,77,158,55,135
66,193,202,145,113,68,77,94,55,135
66,193,321,191,113,155,77,158,NA,NA
66,193,265,178,113,27,66,158,NA,135
NA,129,38,21,113,155,77,158,55,116
NA,193,321,NA,1,30,77,17,55,135
NA,192,111,191,113,21,77,158,55,NA
66,108,NA,191,1,53,58,158,55,NA
1,193,321,191,113,116,77,135,NA,NA
NA,193,241,191,113,81,77,158,55,58
66,193,321,191,1,155,77,158,NA,135
NA,193,NA,89,113,3,52,19,NA,13
NA,193,265,12,1,104,77,97,55,135
66,193,NA,191,113,155,77,158,NA,135
66,137,321,64,113,155,77,45,NA,NA
NA,193,258,191,113,155,77,18,NA,NA
66,193,213,191,1,155,77,123,55,135
66,117,211,38,113,155,77,158,55,135
NA,193,191,108,113,155,77,158,NA,110
66,193,NA,191,113,155,77,158,55,34
66,193,NA,191,113,155,77,158,55,135
66,193,321,130,113,155,77,158,55,135
NA,193,259,191,113,155,77,158,NA,135
66,193,122,NA,113,8,77,NA,55,NA
NA,69,230,148,113,155,49,86,1,51
1,134,265,191,113,155,38,158,55,135
66,193,44,NA,113,155,56,47,55,135
66,40,87,25,113,155,70,102,NA,135
NA,139,NA,191,113,93,NA,158,55,135
66,115,NA,191,113,121,77,158,55,92
NA,8,265,122,113,155,5,158,NA,59
66,103,22,191,113,151,77,158,NA,28
66,193,NA,191,113,155,77,NA,NA,135
NA,193,321,191,113,155,77,158,1,135
66,98,3,191,113,110,77,158,55,135
66,31,42,191,1,20,77,46,55,NA
66,15,52,147,113,26,77,158,55,27
66,189,220,191,113,155,77,NA,NA,135
66,193,92,155,113,155,77,158,NA,135
NA,193,245,191,113,155,77,NA,NA,8
1,193,NA,91,113,155,77,158,NA,135
66,193,140,191,113,155,77,158,NA,135
66,12,NA,10,1,155,NA,110,NA,NA
66,193,76,65,113,155,77,42,55,135
66,54,NA,191,1,155,77,139,NA,NA
NA,193,114,191,1,90,11,30,55,135
66,5,45,191,113,54,77,158,55,135
1,193,265,180,113,155,77,158,NA,135
NA,193,141,191,113,155,77,51,NA,135
66,193,192,191,1,155,77,158,55,135
NA,17,321,160,113,43,77,158,NA,135
NA,187,252,129,1,155,77,NA,NA,63
66,193,NA,191,113,155,77,158,NA,135
NA,193,265,159,113,112,77,158,1,NA
NA,193,NA,56,113,19,77,158,55,108
66,83,321,191,113,155,77,158,55,135
NA,193,NA,191,1,155,77,158,55,NA
NA,193,NA,191,113,155,77,158,55,135
66,52,321,34,1,155,43,158,NA,135
NA,193,55,133,113,155,77,119,55,52
66,193,265,77,113,128,77,158,NA,135
66,NA,125,102,113,155,77,120,55,135
66,193,77,191,113,155,77,96,NA,135
NA,193,144,191,113,155,15,130,55,135
66,193,321,151,113,155,77,NA,55,135
NA,193,208,191,113,155,77,158,55,135
NA,193,53,191,113,123,77,158,NA,117
NA,107,177,191,113,155,77,13,1,135
66,193,NA,191,113,7,77,93,55,135
NA,193,NA,138,113,155,77,158,55,78
1,174,93,191,113,NA,77,10,55,43
NA,193,265,191,113,155,NA,158,55,135
NA,49,NA,33,1,155,34,56,NA,135
NA,193,262,191,113,155,77,158,NA,135
66,71,74,191,113,155,77,158,NA,5
